Who ^whp+who+++=Who
It ^pp3+it+++=It
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
trans ^nn++++=trans-Neptunian
- ^zz++++=EXTRAWORD
neptunian ^jj+atrb+++=EXTRAWORD
object ^nn++++=object.
. ^zz++++=EXTRAWORD
Unlikely ^jj++++=Unlikely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
dwarf ^nn++++=dwarf
planet ^nn++++=planet.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
final ^jj+atrb+++=final
image ^nn++++=image
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
object ^nn++++=object
we ^pp1a+pp1+++=we
discovered ^vbd+vprv++xvbn+=discovered
is ^vbz+bez+vrb++=is
A ^at++++=A
medium ^nn++++=medium-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
asteroid ^nn+++??+=asteroid.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
like ^in++++=like
chicken ^nn++++=chicken
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
a ^at++++=a
medium ^nn++++=medium-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
asteroid ^nn+++??+=asteroid
is ^vbz+bez+vrb++=is
still ^rb++++=still
an ^at++++=an
interesting ^jj+atrb+++=interesting
discovery ^nn+nom+++=discovery.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
dream ^vb++++=dream
different ^jj++++=different
than ^cs+sub+++=than
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
we ^pp1a+pp1+++=we
get ^vb++++=get
to ^to+vcmp+++=to
name ^vb++++=name
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
we ^pp1a+pp1+++=we
can ^md+pos+++=can
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
name ^nn++++=name
for ^in++++=for
the ^ati++++=the
asteroid ^nn+++??+=asteroid
by ^in++++=by
combining ^xvbg+++xvbg+=combining
our ^pp$+pp1+++=our
names ^nns++++=names.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
is ^vbz+bez+aux++=is
that ^tht+vcmp+++=that
both ^abx++++=both
our ^pp$+pp1+++=our
names ^nns++++=names?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
s ^zz++++=s-so
- ^zz++++=EXTRAWORD
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
Kooper ^np+++??+=Kooper
with ^in++++=with
a ^at++++=a
K ^zz++++=K?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
for ^in++++=for
free ^nn++++=free
from ^in++++=from
a ^at++++=a
cat ^nn++++=cat
poster ^nn++++=poster,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
good ^jj++++=good
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
us ^pp1o+pp1+++=us?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
haven ^npl++++=haven
t ^zz++++=t
settled ^vbd+++xvbn+=settled
on ^in+ppvb+++=on
anything ^pn++++=anything
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
were ^vbd+bed+aux++=were
you ^pp2+pp2+++=you
thinking ^nvbg+++xvbg+=thinking?
? ^zz++++=EXTRAWORD
Combine ^vb++++=Combine
their ^pp$+pp3+++=their
names ^nns++++=names?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
just ^rb+emph+++=just
Amy ^np+++??+=Amy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
s ^zz++++=s
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
Yay ^np+++??+=Yay.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
being ^vbg+beg++xvbg+=being
a ^at++++=a
baby ^nn++++=baby
and ^cc++++=and
let ^vb+++xvbn+=let
Emily ^np+++??+=Emily
take ^vb++++=take
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Stuart ^np++++=Stuart.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
we ^pp1a+pp1+++=we
could ^md+pos+++=could
do ^vb+do+vrb++=do
more ^rbr++++=more
stuff ^nn++++=stuff
without ^in++++=without
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
Huh ^uh++++=Huh.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
As ^ql++++=As
long ^rb++++=long
as ^ql++++=as
it ^pp3+it+++=it
doesn ^nn+++??+=doesn
t ^zz++++=t
end ^nn++++=end
with ^in++++=with
us ^pp1o+pp1+++=us
having ^vbg+hvg++xvbg+=having
coitus ^nn++++=coitus
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
we ^pp1a+pp1+++=we
could ^md+pos+++=could
get ^vb++++=get
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
party ^nn++++=party
buses ^nns++++=buses
to ^to++++=to
take ^vbi++++=take
us ^pp1o+pp1+++=us
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
sounds ^nns++++=sounds
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
A ^at++++=A
party ^nn++++=party-bus
- ^zz++++=EXTRAWORD
bus ^nn++++=EXTRAWORD
party ^nn++++=party
don ^npt++++=don
t ^zz++++=t
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
party ^nn++++=party,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
bus ^nn++++=bus.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
point ^nn++++=point
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
accept ^vb+vprv+tht0++=accept
your ^pp$+pp2+++=your
apology ^nn++++=apology.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
doesn ^nn+++??+=doesn
t ^zz++++=t
mean ^jj++++=mean
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
about ^in++++=about
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
making ^xvbg+++xvbg+=making
me ^pp1o+pp1+++=me
uncomfortable ^jj++++=uncomfortable
by ^in++++=by
prolonging ^xvbg+++xvbg+=prolonging
this ^dt+dem+++=this
ridiculous ^jj+atrb+++=ridiculous
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
d ^zz++++=d
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
please ^uh++++=please
don ^npt++++=don
t ^zz++++=t
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
wrong ^jj+pred+++=wrong
with ^in++++=with
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
went ^vbd+++xvbn+=went
to ^in++++=to
Emily ^np+++??+=Emily
s ^zz++++=s
to ^to++++=to
apologise ^vbi++++=apologise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
crying ^vbg+++xvbgx+=crying.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
calmed ^vbd+++xvbnx+=calmed
her ^pp$+pp3+++=her
down ^rp++++=down,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
s ^zz++++=s
not ^xnot++not++=not
going ^vbg+++xvbg+=going
to ^in++++=to
Vegas ^np++++=Vegas
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
s ^zz++++=s
going ^vwbg+++xvbg+=going.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
very ^ql+amp+++=very
mature ^vb++++=mature
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Oo ^uh++++=Oo-ah,
- ^zz++++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oo ^uh++++=oo-ah.
- ^zz++++=EXTRAWORD
ah ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
God ^np++++=God.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
much ^ap++++=much
money ^nn++++=money
did ^vbd+dod+vrb++=did
your ^pp$+pp2+++=your
version ^nn++++=version
of ^in++++=of
Frozen ^nn++++=Frozen
make ^vb++++=make?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
built ^vbd+++xvbnx+=built
an ^at++++=an
ice ^nn++++=ice
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
a ^at++++=a
snow ^nn++++=snow
monster ^nn+nom+++=monster
and ^cc++++=and
gave ^vbd+++xvbn+=gave
herself ^ppl+pp3+++=herself
a ^at++++=a
complete ^jj++++=complete
makeover ^jjr++++=makeover
in ^in++++=in
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
Eat ^vb++++=Eat
a ^at++++=a
block ^nn++++=block
of ^in++++=of
cream ^nn++++=cream
cheese ^nn++++=cheese
straight ^rb++++=straight
from ^in++++=from
the ^ati++++=the
foil ^nn++++=foil
and ^cc++++=and
lie ^vb++++=lie
about ^in++++=about
it ^pp3+it+++=it
to ^in++++=to
your ^pp$+pp2+++=your
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
true ^jj++++=true.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
song ^nn++++=song
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
retooled ^vbd+++xvbnx+=retooled
the ^ati++++=the
whole ^jj+atrb+++=whole
script ^nn++++=script
around ^in++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
so ^ql++++=so
sorry ^uh++++=sorry
but ^cc++++=but,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
you ^pp2+pp2+++=you
not ^xnot++not++=not
like ^in++++=like
that ^dt+dem+++=that
movie ^nn++++=movie?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
classic ^jj+atrb+++=classic
western ^jj+atrb+++=western
set ^nn+++xvbn+=set
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-Jurassic
- ^zz++++=EXTRAWORD
jurassic ^jj+atrb+++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
changed ^vbd+++xvbn+=changed
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
re ^in++++=re
reading ^xvbg+++xvbg+=reading
Saga ^nn++++=Saga.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
comics ^nns++++=comics
have ^vb+hv+vrb++=have
a ^at++++=a
woman ^nn++++=woman
with ^in++++=with
wings ^nns++++=wings
breastfeeding ^vwbg+++xvbg+=breastfeeding
a ^at++++=a
baby ^nn++++=baby
right ^jj++++=right
on ^in++++=on
the ^ati++++=the
cover ^nn++++=cover.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
Raj ^np+++??+=Raj,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
Howard ^np++++=Howard.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
never ^rb++++=never
seen ^vprf+++xvbn+=seen
you ^pp2+pp2+++=you
here ^rn+pl+++=here
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
Claire ^np+++??+=Claire.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
a ^at++++=a
scientist ^nn+nom+++=scientist,
, ^zz++++=EXTRAWORD
slash ^nn++++=slash
party ^nn++++=party
planner ^jjr++++=planner,
, ^zz++++=EXTRAWORD
slash ^nn++++=slash
small ^jj++++=small-dog
- ^zz++++=EXTRAWORD
dog ^nn++++=EXTRAWORD
enthusiast ^nn++++=enthusiast,
, ^zz++++=EXTRAWORD
slash ^nn++++=slash
guy ^np++++=guy
who ^whp+rel+subj++=who
probably ^rb++++=probably
should ^md+nec+++=should
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
at ^rb++++=at
scientist ^nn+nom+++=scientist.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
astrophysicist ^nn+nom+++=astrophysicist.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
animated ^vwbn+++xvbn+=animated
movies ^nns++++=movies.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
me ^pp1o+pp1+++=me
for ^in++++=for
wanting ^xvbg+++xvbg+=wanting
a ^rb++++=a
little ^rb"++++=little
magic ^jj++++=magic
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
great ^jj++++=great.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
bye ^rb++++=bye.
. ^zz++++=EXTRAWORD
So ^ql++++=So?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wouldn ^nn+++??+=wouldn
t ^zz++++=t
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she
s ^zz++++=s
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
wouldn ^nn+++??+=wouldn
t ^zz++++=t
tell ^vb++++=tell
my ^pp$+pp1+++=my
girlfriend ^nn+++??+=girlfriend.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
to ^to++++=to
help ^vbi++++=help
her ^pp$+pp3+++=her
with ^in++++=with
her ^pp$+pp3+++=her
screenplay ^nn+++??+=screenplay.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
not ^xnot++not++=not
my ^pp$+pp1+++=my
fault ^nn++++=fault
if ^cs+cnd+++=if
American ^jj+atrb+++=American
women ^nns++++=women
project ^vb++++=project
their ^pp$+pp3+++=their
fantasies ^nns++++=fantasies
on ^in++++=on
foreigners ^nns+nom+++=foreigners
with ^in++++=with
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
magical ^jj+atrb+++=magical
voice ^nn++++=voice
that ^tht+rel+obj++=that
grants ^nns++++=grants
wishes ^nns++++=wishes.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
hard ^jj++++=hard
to ^to+jcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we
re ^in++++=re
good ^jj++++=good,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
things ^nns++++=things
like ^in++++=like
this ^dt+dem+++=this
make ^nn++++=make
me ^pp1o+pp1+++=me
wonder ^vb++++=wonder
if ^cs+cnd+++=if
Emily ^np+++??+=Emily
s ^zz++++=s
really ^rb+emph+++=really
the ^ati++++=the
right ^jj+atrb+++=right
person ^nn++++=person
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
guys ^nns++++=guys
ever ^rb++++=ever
have ^vb+hv+vrb++=have
doubts ^nns++++=doubts
about ^rp++++=about
each ^ppls++++=each
other ^ap++++=other?
? ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^vb+++??+=ve
made ^vbd+++xvbn+=made
up ^rp++++=up
my ^pp$+pp1+++=my
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
gonna ^md+prd+++0=gonna
do ^vb+do+vrb++=do
the ^ati++++=the
right ^jj+atrb+++=right
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
call ^vb++++=call
this ^dt+dem+++=this
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
m ^zz++++=m
in ^in++++=in
a ^at++++=a
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
calling ^vwbg+++xvbg+=calling
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
threesome ^nn+++??+=threesome
didn ^nn+++??+=didn
t ^zz++++=t
deserve ^vb++++=deserve
the ^ati++++=the
belly ^nn++++=belly
laugh ^nn++++=laugh
it ^pp3+it+++=it
got ^vbd+++xvbn+=got.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
Raj ^np+++??+=Raj.
. ^zz++++=EXTRAWORD
Rajesh ^np+++??+=Rajesh.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
met ^vbd+++xvbn+=met
at ^rb++++=at
the ^ati++++=the
comic ^jj+atrb+++=comic
book ^nn++++=book
store ^nn++++=store.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
m ^zz++++=m
calling ^vwbg+++xvbg+=calling.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
um ^uh++++=um,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+cnj+++=just,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
girlfriend ^nn+++??+=girlfriend.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
want ^vb++++=want
to ^to+vcmp+++=to
mislead ^vbi+++??+=mislead
you ^pp2+pp2+++=you
after ^cs+sub+++=after
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
didn ^nn+++??+=didn
t ^zz++++=t
have ^vb+hv+vrb++=have
a ^at++++=a
vibe ^nn+++??+=vibe?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
told ^vbd+vpub+tht0+xvbn+=told
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
girlfriend ^nn+++??+=girlfriend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
least ^ql++++=least
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+aux++=do
is ^vbz+bez+aux++=is
tell ^vb++++=tell
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
vibe ^nn+++??+=vibe.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
have ^vb+hv+vrb++=have
a ^at++++=a
vibe ^nn+++??+=vibe.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
exciting ^jj+pred+++=exciting.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
my ^pp$+pp1+++=my
next ^ap++++=next
move ^vb++++=move?
? ^zz++++=EXTRAWORD
Right ^jj++++=Right.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
catch ^nn++++=catch.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^jj++++=sorry
to ^to+jcmp+++=to
waste ^vbi++++=waste
your ^pp$+pp2+++=your
time ^nn++++=time.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj+atrb+++=good
luck ^nn++++=luck
with ^in++++=with
your ^pp$+pp2+++=your
screenplay ^nn+++??+=screenplay.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Ever ^rb++++=Ever
since ^cs+sub+++=since
you ^pp2+pp2+++=you
admitted ^vbd+vpub+tht0+xvbn+=admitted
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
vibe ^nn+++??+=vibe,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
